PedidoComida;COM-001;Av. San Pablo 4100, Quinta Normal;3.5
PedidoComida;COM-002;Matucana 120, Estación Central;2.1
PedidoComida;COM-003;Compañía de Jesús 2130, Santiago Centro;1.5
PedidoComida;COM-004;Av. Brasil 450, Santiago Centro;4.0
PedidoComida;COM-005;Catedral 1450, Santiago Centro;0.9
PedidoEncomienda;ENC-001;Av. O'Higgins 3322, Estación Central;5.2;2.5
PedidoEncomienda;ENC-002;Gran Avenida 4500, San Miguel;8.4;15.0
PedidoEncomienda;ENC-003;Mapocho 3200, Quinta Normal;3.1;0.8
PedidoEncomienda;ENC-004;Vicuña Mackenna 150, Providencia;6.5;25.5
PedidoEncomienda;ENC-005;San Diego 430, Santiago Centro;2.8;5.2
PedidoExpress;EXP-001;Agustinas 1200, Santiago Centro;1.2
PedidoExpress;EXP-002;Bandera 150, Santiago Centro;3.4
PedidoExpress;EXP-003;Paseo Huérfanos 830, Santiago Centro;0.5
PedidoExpress;EXP-004;Moneda 1040, Santiago Centro;2.7
PedidoExpress;EXP-005;Santo Domingo 1300, Santiago Centro;4.1
